drug,cell_line,auc_pset1,auc_pset2,ABC,cluster,SEEDING_DENSITY_gdsc1,SEEDING_DENSITY_gdsc2,density_diff
sepantroniumbromide,cvcl_3770,0.09850329136376379,0.9327925812208261,0.6416793156032133,1,,625.0,
sepantroniumbromide,cvcl_0542,0.11915435452390877,0.9652408139985529,0.6400888152552495,1,,200.0,
azd5582,cvcl_2086,0.12353138317631873,0.7757852520843341,0.637112888088166,1,8000.0,625.0,7375.0
bms754807,cvcl_1407,0.6246189221840157,0.0008598696991771737,0.6321771222397454,1,,500.0,
azd5582,cvcl_0078,0.8663100301670283,0.04513323826375404,0.6291024120833238,1,1800.0,625.0,1175.0
obatoclaxmesylate,cvcl_1812,0.8337839578390637,0.1937311062389908,0.6288110743947842,1,,625.0,
sn38,cvcl_0539,0.2106083551761515,0.8394511388231741,0.6239609276417407,1,20000.0,500.0,19500.0
sn38,cvcl_0539,0.2106083551761515,0.8394511388231741,0.6239609276417407,1,15000.0,500.0,14500.0
osi027,cvcl_5868,0.7569563391692697,0.09945799878217687,0.6230346300069267,1,,300.0,
bleomycin,cvcl_1424,0.0016686273250841044,0.6098360117975147,0.6208111268242342,1,,1250.0,
osi027,cvcl_0333,0.8060174489027234,0.1684398397286483,0.6205360410232389,1,,200.0,
bleomycin,cvcl_0062,0.6432162232173405,0.019820839179001792,0.6200668950166979,1,,100.0,
5fluorouracil,cvcl_1694,0.862680855831419,0.21292450472300506,0.6197697732638758,1,,625.0,
obatoclaxmesylate,cvcl_1822,0.8664401905120558,0.22735798598006052,0.6172601930116715,1,,5000.0,
bms754807,cvcl_rn32,0.641177539531221,0.015100294889039967,0.6137798525882807,1,,1250.0,
sepantroniumbromide,cvcl_1726,0.20546098062263196,0.8139776609435438,0.6122383127120247,1,,500.0,
tw37,cvcl_1102,0.7408769010164548,0.008679021331826187,0.61096646242789,1,250.0,625.0,375.0
osi027,cvcl_0079,0.8264236612362508,0.20913829692381647,0.6091368977727123,1,,625.0,
osi027,cvcl_1301,0.8164622838954194,0.1586460152689716,0.6069602514879618,1,,112.5,
bleomycin,cvcl_0209,0.9562278376579647,0.3307960536789648,0.606607984853081,1,,625.0,
tw37,cvcl_1707,0.9657292520852458,0.342013628931896,0.6065009837623109,1,400.0,250.0,150.0
tw37,cvcl_0064,0.63840183065743,0.03196420000485989,0.6042612587071587,1,6250.0,500.0,5750.0
azd2014,cvcl_1406,0.6990033535862856,0.0983720863244002,0.6031540418993931,1,500.0,1000.0,500.0
bleomycin50um,cvcl_0134,0.15429582090891047,0.7541054146531375,0.6016009484670782,1,2000.0,250.0,1750.0
daporinad,cvcl_2206,0.34882794854268606,0.9384830565194033,0.6003164392283553,1,19000.0,1500.0,17500.0
sepantroniumbromide,cvcl_1111,0.14444238581920432,0.7946996061925237,0.5994907057039105,1,,250.0,
obatoclaxmesylate,cvcl_1114,0.9408220218007104,0.33485028655472415,0.5989879943790262,1,,400.0,
osi027,cvcl_5884,0.796860284080262,0.14071349973420177,0.5988550002700472,1,,300.0,
bms754807,cvcl_0250,0.6308982525456,0.003304854448393457,0.5968491295033536,1,,325.0,
vinblastine,cvcl_1305,0.21523741998036727,0.8449696255602183,0.595535915796336,1,8000.0,100.0,7900.0
dasatinib,cvcl_1822,0.6366570844791821,9.136149571675745e-05,0.5922635034874946,1,,5000.0,
talazoparib,cvcl_1155,0.14215470497942517,0.7277934601801777,0.5921006193317596,1,7500.0,300.0,7200.0
sepantroniumbromide,cvcl_c099,0.27562636399588936,0.9046998955840126,0.5886203731031925,1,,400.0,
osi027,cvcl_2161,0.732180164750191,0.12798704982745457,0.5884122862056077,1,,600.0,
vorinostat,cvcl_1247,0.6914498091356052,0.08167700818482315,0.5877897714033689,1,4000.0,3000.0,1000.0
talazoparib,cvcl_1877,0.10274069484881854,0.7011403200047426,0.5873489355309319,1,9000.0,625.0,8375.0
tw37,cvcl_3407,0.6260539123291187,0.04597209084739051,0.585616153497542,1,600.0,300.0,300.0
sepantroniumbromide,cvcl_1715,0.27969296691894363,0.9481604694503557,0.5846102277995128,1,,300.0,
obatoclaxmesylate,cvcl_1130,0.8622011772848039,0.2748926898829871,0.5821505109757442,1,,325.0,
osi027,cvcl_1877,0.9805195882546964,0.38983402677387924,0.5808294097402115,1,,625.0,
obatoclaxmesylate,cvcl_1692,0.9768795741760385,0.35069293918415234,0.5790572078273831,1,,325.0,
daporinad,cvcl_1625,0.21058680847513034,0.7664614131828357,0.5790011168491546,1,25000.0,1250.0,23750.0
daporinad,cvcl_1645,0.9046601599150417,0.19490368256843393,0.5773034733506389,1,5000.0,200.0,4800.0
sepantroniumbromide,cvcl_5098,0.3149582766335701,0.9048899333878608,0.5746011596335376,1,,1250.0,
vinblastine,cvcl_1079,0.1993188406185461,0.7955465494227788,0.574302457765565,1,20000.0,625.0,19375.0
sn38,cvcl_1881,0.3154975444616792,0.9098720211247587,0.5738500973016133,1,15000.0,400.0,14600.0
obatoclaxmesylate,cvcl_1300,0.9101100976749189,0.32907891471261164,0.5737512257985943,1,,925.0,
obatoclaxmesylate,cvcl_3302,0.7502078965580704,0.1295966394152367,0.5736258507012603,1,,1500.0,
osi027,cvcl_1353,0.7216174275889412,0.13260276751122368,0.5727160998155199,1,,500.0,
obatoclaxmesylate,cvcl_0031,0.9810743225053884,0.409820607297135,0.5718923706184704,1,,475.0,
bms754807,cvcl_1464,0.6758734051828985,0.09693421081488196,0.5717151558399584,1,,625.0,
obatoclaxmesylate,cvcl_1584,0.8167508291822689,0.21085744374367044,0.5717011607172795,1,,1250.0,
paclitaxel,cvcl_0005,0.07253116221330036,0.6474405929861398,0.5688047519006842,1,,400.0,
osi027,cvcl_1201,0.779451258697317,0.20427175059639235,0.5680151219243199,1,,1250.0,
azd7762,cvcl_1120,0.7964694051024699,0.19546359901172272,0.5656465440278626,1,200.0,1250.0,1050.0
azd7762,cvcl_1120,0.7964694051024699,0.19546359901172272,0.5656465440278626,1,100.0,1250.0,1150.0
vinorelbine,cvcl_1077,0.1535514336489826,0.7281394280350766,0.5651085415031272,1,,250.0,
bms754807,cvcl_0318,0.5905361756877264,0.008001429502819013,0.565007025289194,1,,325.0,
obatoclaxmesylate,cvcl_a385,0.1803145712139238,0.7725896249072964,0.5645954896648994,1,,325.0,
sepantroniumbromide,cvcl_1187,0.11585879559459056,0.6989735350260022,0.5629771197624673,1,,150.0,
sepantroniumbromide,cvcl_1330,0.2585804506315821,0.834888703491595,0.561966806374492,1,,775.0,
azd5582,cvcl_1350,0.911551825244922,0.34496300076022235,0.5580356132084152,1,1100.0,400.0,700.0
obatoclaxmesylate,cvcl_1292,0.7698837610170304,0.16577919148091613,0.5571411287033813,1,,1000.0,
obatoclaxmesylate,cvcl_1716,0.9114578751824604,0.3618619901156567,0.5568043786644363,1,,325.0,
obatoclaxmesylate,cvcl_1131,0.7735608185350523,0.20078112632278433,0.55640792143652,1,,625.0,
vinblastine,cvcl_1596,0.2113635091021342,0.7613065639174424,0.555904774926223,1,4000.0,625.0,3375.0
sn38,cvcl_2207,0.07191564860531341,0.605865065818814,0.5556662461017756,1,35000.0,2500.0,32500.0
bleomycin50um,cvcl_1624,0.6887879251328968,0.08601513171243214,0.5544444017264797,1,250.0,150.0,100.0
bms754807,cvcl_1584,0.7010092874741495,0.16270334294674915,0.5539158516756978,1,,1250.0,
osi027,cvcl_1678,0.9040358040209604,0.330229095819466,0.5531980083207965,1,,325.0,
bms754807,cvcl_0555,0.640880596035087,0.026905558899372073,0.552832220371887,1,,625.0,
rapamycin,cvcl_1621,0.8937466345220512,0.31751032005318913,0.551376273032543,1,,625.0,
bleomycin,cvcl_1301,0.9736865627758977,0.40572329707867427,0.55069300160706,1,,112.5,
bortezomib,cvcl_1420,0.784068304583805,0.22905291752635193,0.5503647694616616,1,,625.0,
sepantroniumbromide,cvcl_6774,0.08092651705405984,0.9560954343991689,0.5493799025361011,1,,200.0,
azd2014,cvcl_1236,0.7108522776433015,0.16193027842313257,0.5491282713414892,1,4250.0,800.0,3450.0
osi027,cvcl_1660,0.7751406762353821,0.2099764161076315,0.5490188373597635,1,,300.0,
bortezomib,cvcl_0533,0.7633166870018222,0.19761573952906086,0.5477451572592692,1,,300.0,
obatoclaxmesylate,cvcl_1712,0.9005215387994143,0.32661831261786767,0.5467004651279729,1,,1500.0,
obatoclaxmesylate,cvcl_1721,0.8934162621835926,0.34173114723356945,0.5459780961756066,1,,200.0,
obatoclaxmesylate,cvcl_1138,0.6924656641322398,0.10160534549398159,0.5436735618799104,1,,625.0,
bms754807,cvcl_1766,0.6097364942126859,0.05551548058707101,0.5427817731930141,1,,325.0,
sepantroniumbromide,cvcl_0633,0.33072318477864493,0.9193904818581239,0.5426541252608053,1,,250.0,
sepantroniumbromide,cvcl_0531,0.09853779085648973,0.6211518763911614,0.542163668272678,1,,625.0,
bortezomib,cvcl_1627,0.7232302575000851,0.17207293456946882,0.5421072196041955,1,,625.0,
tw37,cvcl_1780,0.7082583323071276,0.1501801600969872,0.5408586695932406,1,700.0,125.0,575.0
osi027,cvcl_1105,0.6318371713163516,0.07516490630098493,0.5386387631922368,1,,150.0,
obatoclaxmesylate,cvcl_2961,0.7574278269845827,0.19422955352725402,0.5382559800191581,1,,1250.0,
sepantroniumbromide,cvcl_1229,0.3523815582234727,0.9210290884917763,0.5370946562787982,1,,625.0,
dasatinib,cvcl_1222,0.9551860958519994,0.39127438770965817,0.5356518945707505,1,,1000.0,
obatoclaxmesylate,cvcl_1544,0.742176633844545,0.13647752144765224,0.5354333600845222,1,,625.0,
vinorelbine,cvcl_1189,0.6589080480692477,0.07952034979935763,0.5337541801725442,1,,2500.0,
azd2014,cvcl_0628,0.6210623681104077,0.013779892529271476,0.5333860354606955,1,200.0,150.0,50.0
osi027,cvcl_1418,0.6773299531877259,0.13126083112772324,0.5330833810674522,1,,625.0,
sepantroniumbromide,cvcl_1427,0.28898379645444183,0.8820002106311042,0.532307267540109,1,,300.0,
osi027,cvcl_t023,0.7443138421739726,0.16136815231351753,0.5317378471147827,1,,300.0,
sepantroniumbromide,cvcl_1537,0.3693333281800478,0.9003082788271063,0.5298951998243318,1,,625.0,
tw37,cvcl_1122,0.7304056571503158,0.19091050423614986,0.5292796650983494,1,1000.0,625.0,375.0
obatoclaxmesylate,cvcl_1707,0.9749373615158998,0.4205713059041205,0.5291991446916399,1,,250.0,
bleomycin50um,cvcl_1635,0.6869444244386256,0.13162956464063058,0.5291598428667168,1,1500.0,900.0,600.0
bosutinib,cvcl_0388,0.37114487797144935,0.8900371999985718,0.5288369570711247,1,12500.0,625.0,11875.0
bosutinib,cvcl_0388,0.37114487797144935,0.8900371999985718,0.5288369570711247,1,6250.0,625.0,5625.0
obatoclaxmesylate,cvcl_a464,0.8742524906709356,0.3440191312513252,0.5274170136922692,1,,450.0,
osi027,cvcl_1890,0.9886530597515499,0.4536904132133359,0.5257382211878561,1,,400.0,
bleomycin,cvcl_1110,0.9879163845019928,0.4346531404739492,0.5252026515348267,1,,300.0,
osi027,cvcl_2206,0.9202558445214166,0.37923688430193925,0.5250515806921396,1,,1500.0,
sepantroniumbromide,cvcl_1056,0.12104121675001667,0.688313238616179,0.524588823402578,1,,250.0,
sepantroniumbromide,cvcl_5870,0.14244013749654805,0.6748198961185611,0.524425914710483,1,,125.0,
foretinib,cvcl_0076,0.12126692564738872,0.6686309434031703,0.5236354069103731,1,,325.0,
obatoclaxmesylate,cvcl_1621,0.700153830225934,0.1761858850280864,0.5227134853577171,1,,625.0,
osi027,cvcl_8269,0.8066511985113965,0.22704548134095026,0.5221408552230021,1,,1250.0,
obatoclaxmesylate,cvcl_0001,0.8035657112042742,0.25931278170682115,0.5219832579776056,1,,400.0,
obatoclaxmesylate,cvcl_1549,0.8537904695460805,0.3321852765031238,0.521815068474978,1,,625.0,
obatoclaxmesylate,cvcl_1650,0.8953817441165028,0.38102166974216223,0.5217770349363678,1,,2500.0,
osi027,cvcl_1100,0.687177778633902,0.13324930095939158,0.521091306014126,1,,500.0,
bortezomib,cvcl_d284,0.7035204960390635,0.1588635754886879,0.5193293112719147,1,,400.0,
obatoclaxmesylate,cvcl_1302,0.8341551982637118,0.31227923095511534,0.5192941163215514,1,,1250.0,
sn38,cvcl_1135,0.917058287177569,0.4102105712302623,0.5183490898851212,1,1600.0,300.0,1300.0
azd2014,cvcl_2078,0.5431241544998896,0.015563882096217396,0.5183276871331695,1,4000.0,1250.0,2750.0
luminespib,cvcl_0031,0.671984738488927,0.13080845669395846,0.5179323245297813,1,,475.0,
ruxolitinib,cvcl_1062,0.7447904574024071,0.2186929125104521,0.5169639326407633,1,,325.0,
sepantroniumbromide,cvcl_1583,0.42381971091031156,0.9464639747944732,0.5167093485952494,1,,1250.0,
bleomycin50um,cvcl_0525,0.6450395596569427,0.08208785968805021,0.516461875801924,1,600.0,200.0,400.0
dasatinib,cvcl_d284,0.6429450673148775,0.10641655922432969,0.5162609501898094,1,,400.0,
osi027,cvcl_0538,0.6918695989284873,0.12034530540719202,0.5159592380928749,1,,250.0,
azd2014,cvcl_1288,0.732296541877127,0.17894308811386872,0.5151990796528744,1,300.0,150.0,150.0
lcl161,cvcl_1205,0.5345635098855646,0.007235528299178617,0.5140550142369723,1,,200.0,
gemcitabine,cvcl_0629,0.5439539187844049,5.7635017859825055e-05,0.5135252688986114,1,800.0,350.0,450.0
gemcitabine,cvcl_0629,0.5439539187844049,5.7635017859825055e-05,0.5135252688986114,1,,350.0,
osi027,cvcl_0589,0.819428240207765,0.31049483601672623,0.5126561677471526,1,,2500.0,
gemcitabine,cvcl_x505,0.6206955393577132,0.0749881842166713,0.5124157511519315,1,800.0,325.0,475.0
obatoclaxmesylate,cvcl_1304,0.913878422349742,0.3989929459582966,0.5123507874280754,1,,325.0,
tanespimycin,cvcl_1120,0.6572589129004933,0.09574449718797173,0.5119451985774579,1,200.0,1250.0,1050.0
tanespimycin,cvcl_1120,0.6572589129004933,0.09574449718797173,0.5119451985774579,1,100.0,1250.0,1150.0
paclitaxel,cvcl_1644,0.7552301832141475,0.2248081890065965,0.5117642526463521,1,,625.0,
daporinad,cvcl_1114,0.16596627696980393,0.647804469338219,0.511608074593253,1,2000.0,400.0,1600.0
bosutinib,cvcl_2091,0.10335806065540054,0.5763775057471117,0.5107688644816849,1,4000.0,625.0,3375.0
obatoclaxmesylate,cvcl_1376,0.8973272010602629,0.370623491436599,0.5105175946626894,1,,400.0,
osi027,cvcl_0454,0.6212090676820019,0.11077942584264133,0.5104594406085513,1,,400.0,
obatoclaxmesylate,cvcl_1314,0.803869143838615,0.25553565069451867,0.5102296522593865,1,,5000.0,
foretinib,cvcl_0379,0.2259046474285541,0.7201332517870028,0.5099432193934902,1,,1250.0,
lestaurtinib,cvcl_1420,0.5785933422163849,0.056123815125134646,0.5093076686619631,1,1000.0,625.0,375.0
bleomycin,cvcl_1418,0.6688138187093484,0.15718903083551805,0.5091508595359887,1,,625.0,
bleomycin50um,cvcl_1628,0.6402164294819781,0.08946878679092551,0.5086319078274012,1,700.0,300.0,400.0
obatoclaxmesylate,cvcl_1573,0.8573225687038403,0.34183539213472036,0.5083847462328256,1,,1250.0,
obatoclaxmesylate,cvcl_0525,0.7357799802447589,0.2126574474483336,0.507921502627308,1,,200.0,
osi027,cvcl_0103,0.8942587777045631,0.366139755572948,0.5076593259865276,1,,3000.0,
azd7762,cvcl_3082,0.5756972304824712,0.0678144258181832,0.5067511276567731,1,3500.0,625.0,2875.0
azd7762,cvcl_3082,0.5756972304824712,0.0678144258181832,0.5067511276567731,1,2500.0,625.0,1875.0
tw37,cvcl_1204,0.5568674628690704,0.05686410944017972,0.5063800336743325,1,450.0,325.0,125.0
tw37,cvcl_1204,0.5568674628690704,0.05686410944017972,0.5063800336743325,1,400.0,325.0,75.0
linsitinib,cvcl_1761,0.5624075121737987,1.5204724947981418e-06,0.5060669367576535,1,,100.0,
azd5582,cvcl_1346,0.937403835769131,0.304305168448476,0.5059185427222989,1,15000.0,500.0,14500.0
vx11e,cvcl_0399,0.059114644440354525,0.5934777295229776,0.5052467751622602,1,,125.0,
obatoclaxmesylate,cvcl_1644,0.9668684805359162,0.46926549275418217,0.505169867649823,1,,625.0,
gemcitabine,cvcl_1402,0.7679653038036529,0.2721263339222716,0.5049273113209843,1,600.0,300.0,300.0
gemcitabine,cvcl_1402,0.7679653038036529,0.2721263339222716,0.5049273113209843,1,,300.0,
azd2014,cvcl_1424,0.6600664385721325,0.13602752511079164,0.5048463136996894,1,7500.0,1250.0,6250.0
paclitaxel,cvcl_1766,0.5112864215975299,0.015474333142743935,0.504220782677327,1,,325.0,
vinorelbine,cvcl_3407,0.6779181056423689,0.14657655926496505,0.5040082268839606,1,,300.0,
obatoclaxmesylate,cvcl_0629,0.7528009372048557,0.22359691362816214,0.5039398745969328,1,,350.0,
gemcitabine,cvcl_0039,0.791523629051775,0.30285186304962264,0.5036503885261541,1,1000.0,150.0,850.0
gemcitabine,cvcl_0039,0.791523629051775,0.30285186304962264,0.5036503885261541,1,,150.0,
osi027,cvcl_5879,0.680555816675827,0.17461886245440417,0.5035617900850989,1,,150.0,
azd5438,cvcl_1300,0.557576363387404,0.014282242783541954,0.5032248057242491,1,1000.0,1000.0,0.0
trametinib,cvcl_1238,0.7748994828181679,0.2661742399311179,0.5026506347371765,1,2500.0,1750.0,750.0
azd2014,cvcl_1646,0.8468746585855095,0.35581466866648137,0.5025038494366239,1,5000.0,1500.0,3500.0
azd2014,cvcl_1650,0.6347431077697052,0.13265318534294146,0.5023363587727718,1,20000.0,2500.0,17500.0
wee1inhibitor,cvcl_c184,0.6455237984917546,0.09802257562914707,0.5016440569398459,1,2000.0,100.0,1900.0
bleomycin,cvcl_0479,0.0966737729834205,0.5917927068304414,0.5005080495200324,1,,200.0,
osi027,cvcl_1149,0.8161361559108671,0.2938694343636967,0.5004843744980361,1,,625.0,
bleomycin50um,cvcl_1631,0.6384245775964219,0.10159363313493974,0.4996781165657167,1,12500.0,2500.0,10000.0
vinblastine,cvcl_1579,0.19922590450864364,0.6984385929810568,0.49961162514333496,1,35000.0,1500.0,33500.0
vinblastine,cvcl_1579,0.19922590450864364,0.6984385929810568,0.49961162514333496,1,12500.0,1500.0,11000.0
bleomycin,cvcl_1793,0.04879950577859504,0.543155074799226,0.49891774959219254,1,,400.0,
daporinad,cvcl_1226,0.23315262797432146,0.7156221764925534,0.4989129769620114,1,400.0,150.0,250.0
bosutinib,cvcl_0425,0.34179297157591904,0.833342142038502,0.4977102614323749,1,6250.0,625.0,5625.0
osi027,cvcl_1327,0.7181321364891655,0.206384309319527,0.497644425295721,1,,1250.0,
entinostat,cvcl_2761,0.5759732750323543,0.07849960360505315,0.4960730835226127,1,,200.0,
osi027,cvcl_0004,0.6351420109934995,0.12491545321066322,0.495919474111429,1,,625.0,
sepantroniumbromide,cvcl_1464,0.3806608988897837,0.8761846986142596,0.495862130941211,1,,625.0,
bortezomib,cvcl_1153,0.6564279272807124,0.1607933586908581,0.49571858215122133,1,,325.0,
sepantroniumbromide,cvcl_1728,0.38492498471107106,0.8814396960244588,0.49550269793389545,1,,325.0,
obatoclaxmesylate,cvcl_2218,0.7918997890392403,0.2902265038417603,0.4947617291645569,1,,625.0,
sepantroniumbromide,cvcl_0318,0.30663552822469897,0.8050992642996113,0.4945469156064415,1,,325.0,
obatoclaxmesylate,cvcl_1624,0.8464040033619463,0.3461503213756417,0.4941125529831538,1,,150.0,
lestaurtinib,cvcl_1305,0.22032322241376812,0.7112781205039089,0.49393893870340727,1,8000.0,100.0,7900.0
cytarabine,cvcl_1216,0.2885698890243332,0.7803541547512086,0.49346621079955055,1,12500.0,1250.0,11250.0
cytarabine,cvcl_1216,0.2885698890243332,0.7803541547512086,0.49346621079955055,1,5500.0,1250.0,4250.0
azd5582,cvcl_2193,0.6497441752044977,0.12789399110218103,0.4930311662289675,1,800.0,625.0,175.0
luminespib,cvcl_1302,0.5692984204879493,0.09286593879408178,0.49190193535680377,1,,1250.0,
osi027,cvcl_1667,0.7185495429655918,0.22056392039527528,0.4916444378878334,1,,500.0,
talazoparib,cvcl_2960,0.7357731317489411,0.2007301058663773,0.4916279108565916,1,400.0,300.0,100.0
luminespib,cvcl_1319,0.14363704511824427,0.6265549811374783,0.49122381155353784,1,,450.0,
azd2014,cvcl_1168,0.6550879519645603,0.11485435089222651,0.49096252601014523,1,3000.0,625.0,2375.0
tw37,cvcl_0418,0.46119398682122137,0.021216703758694777,0.4900308925720926,1,3200.0,400.0,2800.0
gemcitabine,cvcl_1105,0.7217576285663125,0.2148288817617645,0.48996593656738596,1,1100.0,150.0,950.0
gemcitabine,cvcl_1105,0.7217576285663125,0.2148288817617645,0.48996593656738596,1,,150.0,
bms754807,cvcl_1369,0.7118791074681293,0.22678525914420566,0.489351489955081,1,,1250.0,
azd5582,cvcl_1711,0.23494220963010481,0.6632513400266846,0.4891765425027327,1,4000.0,937.5,3062.5
bortezomib,cvcl_3075,0.7837348718862123,0.2942105944938266,0.4891596343069834,1,,200.0,
bms754807,cvcl_1304,0.6286253949001865,0.14563013593218255,0.4884933639839241,1,,325.0,
sepantroniumbromide,cvcl_1470,0.30645611864833855,0.8108486625716034,0.488315189155327,1,,1250.0,
gemcitabine,cvcl_1192,0.6335765916081046,0.1618706366959619,0.4877409226922253,1,1800.0,400.0,1400.0
gemcitabine,cvcl_1192,0.6335765916081046,0.1618706366959619,0.4877409226922253,1,,400.0,
obatoclaxmesylate,cvcl_1823,0.8695887708526562,0.3713504456463457,0.4876844691947514,1,,2500.0,
bms754807,cvcl_2061,0.5479937278017981,0.03726087495257402,0.4868208129909586,1,,350.0,
tw37,cvcl_0542,0.6440452460639706,0.128442049635627,0.48653731553027885,1,500.0,200.0,300.0
azd5438,cvcl_0393,0.4860780320837633,0.007461670204395587,0.486154365500814,1,650.0,625.0,25.0
gemcitabine,cvcl_1086,0.8220547131027001,0.3308735555085718,0.4860308341516054,1,900.0,625.0,275.0
gemcitabine,cvcl_1086,0.8220547131027001,0.3308735555085718,0.4860308341516054,1,,625.0,
vinorelbine,cvcl_0360,0.09134460438609049,0.622927920295784,0.4859382443485895,1,,150.0,
sn38,cvcl_0374,0.6630455085663831,0.14479216691060326,0.4859054783954355,1,30000.0,2500.0,27500.0
sn38,cvcl_0374,0.6630455085663831,0.14479216691060326,0.4859054783954355,1,19000.0,2500.0,16500.0
sn38,cvcl_0374,0.6630455085663831,0.14479216691060326,0.4859054783954355,1,15000.0,2500.0,12500.0
daporinad,cvcl_1392,0.06497594178908994,0.5435287447862343,0.48574206906764167,1,19000.0,625.0,18375.0
obatoclaxmesylate,cvcl_1281,0.7799688413396766,0.2910674702408248,0.48489067606441344,1,,200.0,
azd2014,cvcl_1735,0.836059569977312,0.3679177307109376,0.48450893930683653,1,4000.0,625.0,3375.0
dasatinib,cvcl_3035,0.8978494300222859,0.4088530262003466,0.4838401211529598,1,,2500.0,
