drug,cell_line,auc_ccle,auc_gdsc,ABC,cluster,SEEDING_DENSITY,density_ccle,density_diff
paclitaxel,cvcl_0626,0.19786202858677004,0.6279533518915441,0.4325351429494152,1,625.0,250,375.0
nilotinib,cvcl_0425,0.4975409822850848,0.930686875942685,0.4316779009345978,1,625.0,250,375.0
irinotecan,cvcl_1629,0.5742223918311258,0.12459138552358529,0.429816634798259,1,200.0,250,50.0
irinotecan,cvcl_1889,0.4540037911143989,0.2661206179675789,0.42660280089417946,1,450.0,250,200.0
irinotecan,cvcl_1092,0.5099760605046652,0.0405658195875197,0.4234498035992711,1,462.5,250,212.5
paclitaxel,cvcl_0312,0.5001139295966106,0.08091944215474045,0.4214945535001829,1,300.0,250,50.0
irinotecan,cvcl_0548,0.5284137667574165,0.11050330183908275,0.42086474451735006,1,1000.0,250,750.0
irinotecan,cvcl_0471,0.5550243191778816,0.12630968701224743,0.4179196076580404,1,300.0,250,50.0
topotecan,cvcl_0218,0.5286222599611958,0.12583686983421227,0.4169195564955486,1,700.0,250,450.0
irinotecan,cvcl_0627,0.7266564209474098,0.3153777067222139,0.4155745545802458,1,625.0,250,375.0
irinotecan,cvcl_1635,0.45295640378374824,0.041658028169995864,0.4151112183765255,1,900.0,250,650.0
irinotecan,cvcl_1054,0.5196570984397855,0.08140960010139442,0.41305863995522224,1,325.0,250,75.0
irinotecan,cvcl_1411,0.669333742556745,0.25499675511783615,0.41217154742776535,1,850.0,250,600.0
irinotecan,cvcl_6774,0.5300971034287978,0.10074490564689176,0.4102261462252667,1,200.0,250,50.0
irinotecan,cvcl_0105,0.486921963854701,0.06839025523354547,0.40909259351812893,1,500.0,250,250.0
irinotecan,cvcl_1612,0.6576315850536549,0.2127380859709963,0.40822267466604173,1,300.0,250,50.0
irinotecan,cvcl_0527,0.47519087166323815,0.057858514175893716,0.4078589115416298,1,387.5,250,137.5
irinotecan,cvcl_1695,0.6492965868386591,0.1911539927778042,0.40747632789221583,1,625.0,250,375.0
irinotecan,cvcl_2209,0.7376676650263034,0.2875700501946131,0.40746987346167857,1,1000.0,250,750.0
irinotecan,cvcl_3612,0.5515349336364475,0.14381698245266017,0.4039955294020355,1,300.0,250,50.0
paclitaxel,cvcl_1566,0.43035521957284406,0.02848015226652112,0.4028204105218288,1,300.0,250,50.0
irinotecan,cvcl_0434,0.545693459883057,0.12388899591307212,0.4024548848833844,1,250.0,250,0.0
irinotecan,cvcl_3172,0.5299649692264733,0.09977134535592125,0.40190291582676024,1,325.0,250,75.0
irinotecan,cvcl_1818,0.6955788291264775,0.27794225241862236,0.39916473013329085,1,2000.0,250,1750.0
irinotecan,cvcl_0079,0.7099562142561054,0.2859571156896442,0.39794789441721967,1,625.0,250,375.0
irinotecan,cvcl_1087,0.6479386475085842,0.2403268351244645,0.39771020630870424,1,625.0,250,375.0
irinotecan,cvcl_0539,0.6232240446591799,0.15125036532788583,0.3955228621069033,1,500.0,250,250.0
irinotecan,cvcl_1325,0.512086478637271,0.10748567293462441,0.3949012043980177,1,900.0,250,650.0
irinotecan,cvcl_0419,0.47275777293976085,0.09305728498272847,0.3901123731073706,1,400.0,250,150.0
irinotecan,cvcl_2661,0.3908062514277615,0.0008024284861015696,0.38995857331538636,1,325.0,250,75.0
irinotecan,cvcl_2787,0.44475633585553276,0.04398009049537077,0.3891618660854793,1,400.0,250,150.0
irinotecan,cvcl_2104,0.5667308465733325,0.13163448245103626,0.3881820823020373,1,300.0,250,50.0
irinotecan,cvcl_0547,0.5443472029269916,0.13436171923047402,0.38799045783759206,1,325.0,250,75.0
paclitaxel,cvcl_3004,0.6234363982903188,0.22418971566220025,0.387458976608469,1,400.0,250,150.0
irinotecan,cvcl_0065,0.6469388390502759,0.22101828296074533,0.3850498312149947,1,1250.0,250,1000.0
irinotecan,cvcl_1488,0.41739319808565567,0.001141384602024842,0.3835362793918462,1,625.0,250,375.0
irinotecan,cvcl_1566,0.44778775013725036,0.03523701713436833,0.3832057735171691,1,400.0,250,150.0
irinotecan,cvcl_1724,0.6153367470613642,0.19580105922987145,0.382769909471637,1,375.0,250,125.0
irinotecan,cvcl_2124,0.5233374367256549,0.10283226677266044,0.38258739044660145,1,3000.0,250,2750.0
irinotecan,cvcl_0465,0.4103298215282877,0.016805490713123428,0.382328238323359,1,500.0,250,250.0
topotecan,cvcl_1259,0.06726464864465409,0.4274985754474736,0.38227390071812056,1,1000.0,250,750.0
irinotecan,cvcl_0320,0.42697736808425757,0.030726545168562547,0.38039165926733504,1,200.0,250,50.0
irinotecan,cvcl_1307,0.31500811879971524,0.013353322728103523,0.37810704432707587,1,150.0,250,100.0
irinotecan,cvcl_2075,0.4224194608261119,0.05033315927583237,0.3778155461643546,1,250.0,250,0.0
irinotecan,cvcl_0428,0.45694874311667955,0.07776236553468463,0.37371593900229316,1,300.0,250,50.0
irinotecan,cvcl_1058,0.4851866897626479,0.09113055302859219,0.373662659466946,1,1000.0,250,750.0
irinotecan,cvcl_1535,0.5033113105122784,0.12866847923725788,0.36805652941893474,1,400.0,250,150.0
irinotecan,cvcl_0153,0.4830664129982043,0.08278960293848403,0.3673055384042099,1,325.0,250,75.0
irinotecan,cvcl_1630,0.7507241387900551,0.335347614806608,0.3666022442566772,1,800.0,250,550.0
irinotecan,cvcl_0312,0.43713230544599946,0.06565359554628925,0.36599209023495033,1,300.0,250,50.0
irinotecan,cvcl_3768,0.43469251114831653,0.04176487121158168,0.3624923312376486,1,625.0,250,375.0
paclitaxel,cvcl_1635,0.7077348993315826,0.3369529343695704,0.3622324793593473,1,900.0,250,650.0
irinotecan,cvcl_1463,0.5202730201486201,0.16695758261314675,0.3609126561698065,1,1500.0,250,1250.0
irinotecan,cvcl_1776,0.5441099090088887,0.16183020447195373,0.3589666502752197,1,300.0,250,50.0
irinotecan,cvcl_0374,0.3993683800718455,0.08413409523906057,0.35877646317862194,1,2500.0,250,2250.0
topotecan,cvcl_1889,0.4835230859735212,0.33646905717171727,0.35851693115546585,1,450.0,250,200.0
paclitaxel,cvcl_3613,0.63952963053671,0.25839241815559355,0.35702419304744654,1,200.0,250,50.0
irinotecan,cvcl_1139,0.44150541402167776,0.06537248653311589,0.3566814374890392,1,300.0,250,50.0
paclitaxel,cvcl_1354,0.809086046349077,0.44603925188543003,0.3565644870198819,1,200.0,250,50.0
irinotecan,cvcl_1806,0.5550603526882456,0.16350859077118007,0.35573219063322625,1,400.0,250,150.0
paclitaxel,cvcl_1639,0.6889216277479422,0.3150092859597253,0.3556892538513035,1,400.0,250,150.0
irinotecan,cvcl_1543,0.4938035547858146,0.12258789274497128,0.3536412553431496,1,325.0,250,75.0
paclitaxel,cvcl_1667,0.47549321519598065,0.12167963245458613,0.35299453373984313,1,500.0,250,250.0
paclitaxel,cvcl_0527,0.6504611948496252,0.2742135273762609,0.3515699415609967,1,450.0,250,200.0
irinotecan,cvcl_0633,0.4750276775777522,0.12520170201377867,0.35120054128436595,1,225.0,250,25.0
paclitaxel,cvcl_1679,0.6918381669104554,0.3417327656134058,0.35100727995027003,1,300.0,250,50.0
irinotecan,cvcl_1320,0.7941978430635885,0.3334441336001829,0.35065963903711395,1,400.0,250,150.0
irinotecan,cvcl_1424,0.7657570626813935,0.36020485760532084,0.3503447111610453,1,1250.0,250,1000.0
irinotecan,cvcl_1688,0.5173702637182886,0.12791921149459673,0.34904746481617777,1,100.0,250,150.0
irinotecan,cvcl_1679,0.4684784668079819,0.12506315022751524,0.3470072263750053,1,300.0,250,50.0
irinotecan,cvcl_0178,0.3523533962225154,0.0007034679666240162,0.3466818117169781,1,1250.0,250,1000.0
irinotecan,cvcl_1619,0.5956947313025904,0.22666921621064884,0.34494648858884414,1,625.0,250,375.0
topotecan,cvcl_1699,0.198992075360637,0.5399110268035356,0.34397998158208853,1,5000.0,250,4750.0
irinotecan,cvcl_1505,0.4769940299091291,0.09954967007181326,0.34300797713750114,1,250.0,250,0.0
paclitaxel,cvcl_0459,0.3412271469152607,0.6976007016831802,0.3414182578054989,1,75.0,250,175.0
irinotecan,cvcl_1361,0.3936516495374578,0.041208387670819024,0.34091005152346804,1,400.0,250,150.0
topotecan,cvcl_1484,0.2397192110170132,0.5655354767415153,0.33838584211029316,1,325.0,250,75.0
lapatinib,cvcl_3082,0.5204311872346948,0.19765317228688994,0.33763789669247046,1,625.0,250,375.0
paclitaxel,cvcl_1650,0.4901973222328826,0.15768779182905968,0.33645867986103517,1,2500.0,250,2250.0
selumetinib,cvcl_3082,0.590730153259303,0.2612768598058881,0.3359620861506577,1,625.0,250,375.0
irinotecan,cvcl_0023,0.40787333352905375,0.06188284113233322,0.335788746502129,1,125.0,250,125.0
irinotecan,cvcl_0035,0.40545581960971144,0.05422196381797628,0.33552649696939846,1,325.0,250,75.0
irinotecan,cvcl_0069,0.2859687002860014,0.0015863897895979084,0.335162316221166,1,500.0,250,250.0
irinotecan,cvcl_1690,0.42304724150285933,0.10538497043047124,0.3351181448533218,1,150.0,250,100.0
paclitaxel,cvcl_0618,0.5235349548265017,0.18261261591820444,0.3344215020736199,1,1250.0,250,1000.0
irinotecan,cvcl_0426,0.4432070250887571,0.1053376546279885,0.33281738251663967,1,200.0,250,50.0
paclitaxel,cvcl_1806,0.5185211046528098,0.8528455571258375,0.3314452601886017,1,400.0,250,150.0
irinotecan,cvcl_0504,0.44199929803636684,0.09894310223379332,0.32997499278238407,1,250.0,250,0.0
topotecan,cvcl_0022,0.09827936863187547,0.36561441745966083,0.32896244813559455,1,400.0,250,150.0
irinotecan,cvcl_1716,0.4078723456715946,0.07868676126178498,0.3276885007351409,1,325.0,250,75.0
paclitaxel,cvcl_1780,0.34899856691992603,0.026682613404366617,0.3268233861727512,1,125.0,250,125.0
paclitaxel,cvcl_0428,0.6605011910877514,0.3198844156128178,0.3258138067259474,1,300.0,250,50.0
crizotinib,cvcl_1724,0.027061823472402158,0.17445482625535802,0.3256418509006509,1,375.0,250,125.0
nilotinib,cvcl_0379,0.6465907319587476,0.9573803959061633,0.32515206115292833,1,1250.0,250,1000.0
irinotecan,cvcl_0291,0.44318785027198626,0.09231349739198402,0.3246655844445329,1,125.0,250,125.0
topotecan,cvcl_1092,0.51411150826175,0.15928589040228658,0.3245058438862234,1,300.0,250,50.0
topotecan,cvcl_1670,0.5039392284316151,0.17431672317748392,0.32365518235679824,1,625.0,250,375.0
paclitaxel,cvcl_0186,0.5881532369567981,0.2519203847532343,0.32253020815913885,1,625.0,250,375.0
irinotecan,cvcl_0036,0.39648121274272763,0.05569310326645538,0.3218614882664778,1,325.0,250,75.0
selumetinib,cvcl_2091,0.4144084172464687,0.09393215862461546,0.3202689330033189,1,625.0,250,375.0
irinotecan,cvcl_0525,0.3680740978811675,0.04765721781491927,0.32015776355655307,1,200.0,250,50.0
irinotecan,cvcl_1048,0.5895116323445202,0.2535560420571831,0.3199718267085226,1,325.0,250,75.0
topotecan,cvcl_1347,0.4237698674359901,0.0460285526581764,0.3151117510771338,1,325.0,250,75.0
topotecan,cvcl_1798,0.5895143847635664,0.2652853649329975,0.3146816626646071,1,150.0,250,100.0
paclitaxel,cvcl_1636,0.5490842933676674,0.22867283250693915,0.31016457654237556,1,625.0,250,375.0
selumetinib,cvcl_1632,0.4648333593309292,0.16862977163534698,0.30969281932794873,1,1250.0,250,1000.0
irinotecan,cvcl_0599,0.44586424458743157,0.11600274264777932,0.3095470838135935,1,400.0,250,150.0
irinotecan,cvcl_1633,0.36551595631387834,0.01640542006190915,0.3092774126277536,1,300.0,250,50.0
irinotecan,cvcl_1287,0.49350852089255326,0.1822704569426138,0.30811155499174075,1,150.0,250,100.0
paclitaxel,cvcl_1776,0.5945815598958767,0.2855380128750923,0.3073581714842686,1,300.0,250,50.0
irinotecan,cvcl_2206,0.5518085403076939,0.25138331505157063,0.3063629690253841,1,1500.0,250,1250.0
paclitaxel,cvcl_1716,0.3331946576771997,0.025870706811276456,0.30598872433579044,1,325.0,250,75.0
irinotecan,cvcl_1059,0.49075389233026634,0.1668276443708685,0.30559624025533094,1,150.0,250,100.0
paclitaxel,cvcl_1122,0.3612287774775039,0.05214440794570696,0.30505443935166815,1,625.0,250,375.0
topotecan,cvcl_0618,0.3910836422984163,0.1104958417428421,0.30452851237204825,1,1250.0,250,1000.0
irinotecan,cvcl_1050,0.32324837404114626,0.0006720639139792262,0.3044508591604942,1,325.0,250,75.0
paclitaxel,cvcl_0525,0.5567298518669962,0.2549583567890402,0.30249156202819383,2,200.0,250,50.0
irinotecan,cvcl_1281,0.36457697904118824,0.0658913857830471,0.30142395894729845,2,200.0,250,50.0
paclitaxel,cvcl_2891,0.5873207026270274,0.28599509643428556,0.30032314878538285,2,300.0,250,50.0
selumetinib,cvcl_1196,0.46106615192379363,0.16344611271116904,0.29998695432227596,2,1500.0,250,1250.0
topotecan,cvcl_0060,0.41697483592219786,0.09709132557763744,0.29968098801192394,2,200.0,250,50.0
plx4720,cvcl_1036,0.21569686327742132,0.4554229834793112,0.2991997696128999,2,,250,
irinotecan,cvcl_0292,0.36484332637369987,0.05559302269060673,0.29919112848825263,2,150.0,250,100.0
irinotecan,cvcl_0132,0.5196053033394408,0.2069139372498945,0.29763820321777024,2,150.0,250,100.0
topotecan,cvcl_1619,0.599843180779245,0.3116706015802845,0.29548137797472235,2,625.0,250,375.0
irinotecan,cvcl_1338,0.4182048254914592,0.12015198979582653,0.2954060576115772,2,400.0,250,150.0
crizotinib,cvcl_2209,0.15865957659371888,0.43593744956808766,0.29510820207440847,2,1000.0,250,750.0
paclitaxel,cvcl_1270,0.5858299118027319,0.2764416505123969,0.2946604058112964,2,1000.0,250,750.0
irinotecan,cvcl_1624,0.37269896371369815,0.07625399643748065,0.29457582392412723,2,150.0,250,100.0
paclitaxel,cvcl_0313,0.5695613027887145,0.2682506621831746,0.29420211768201326,2,325.0,250,75.0
erlotinib,cvcl_6831,0.6633084260448087,0.3760700159749023,0.29237499840402886,2,300.0,250,50.0
irinotecan,cvcl_1167,0.5581540703536854,0.25948441550161927,0.2922150547624123,2,150.0,250,100.0
irinotecan,cvcl_1130,0.36566704481772105,0.05452239962032368,0.29213760904167974,2,325.0,250,75.0
paclitaxel,cvcl_1348,0.03582012417886138,0.3802526566236061,0.29177351206932406,2,100.0,250,150.0
irinotecan,cvcl_0555,0.31327234324189857,0.0009909966167808149,0.2917317816292651,2,625.0,250,375.0
irinotecan,cvcl_1590,0.3611523092622285,0.053529627614219755,0.29139475998639364,2,1250.0,250,1000.0
irinotecan,cvcl_1051,0.4154598609401573,0.1313050334490964,0.2912646699422751,2,150.0,250,100.0
selumetinib,cvcl_1823,0.5122905880382718,0.23028092648122422,0.2901638531643301,2,2500.0,250,2250.0
selumetinib,cvcl_1524,0.470781249806951,0.18693705263783045,0.2883813014623173,2,500.0,250,250.0
paclitaxel,cvcl_0434,0.6243207584640137,0.3354680466484954,0.2877968408837293,2,250.0,250,0.0
topotecan,cvcl_1763,0.2719110639587424,0.5281938786529378,0.2860397402301039,2,312.0,250,62.0
irinotecan,cvcl_0029,0.322528265905516,0.017663266104261832,0.2859025550280114,2,562.5,250,312.5
selumetinib,cvcl_3768,0.5046517907412086,0.2346427191250422,0.285039922878861,2,625.0,250,375.0
topotecan,cvcl_1205,0.7600800253456528,0.4734188277886897,0.28458571024277746,2,200.0,250,50.0
irinotecan,cvcl_1386,0.42765599471569515,0.10853128442671733,0.28376355237171547,2,462.5,250,212.5
topotecan,cvcl_2091,0.5026596336604945,0.21059886122930704,0.2830563236095741,2,625.0,250,375.0
topotecan,cvcl_1227,0.5945323793332968,0.36183847982707273,0.2776905522450859,2,625.0,250,375.0
topotecan,cvcl_1625,0.39745928515365936,0.1233789479261117,0.2765718022434965,2,1250.0,250,1000.0
irinotecan,cvcl_3084,0.437251350663418,0.1421114840265867,0.27505874492072074,2,625.0,250,375.0
sorafenib,cvcl_6774,0.12228824552582207,0.360243982035089,0.27396136477205235,2,200.0,250,50.0
irinotecan,cvcl_1529,0.5266045509738764,0.19698558056978832,0.2739370844910146,2,1000.0,250,750.0
paclitaxel,cvcl_1259,0.5389587906624917,0.2449819038843396,0.2730125672321489,2,1000.0,250,750.0
lapatinib,cvcl_0179,0.635223611960573,0.36147994349864754,0.2727077454177234,2,1250.0,250,1000.0
paclitaxel,cvcl_1258,0.8271181060956936,0.556276214866295,0.27240792379627254,2,325.0,250,75.0
topotecan,cvcl_3172,0.4579446134012244,0.16549297748033742,0.2719897633322353,2,325.0,250,75.0
topotecan,cvcl_1386,0.5665850628628044,0.24440062663246143,0.2718570502852216,2,462.5,250,212.5
nilotinib,cvcl_1320,0.11467489547513454,0.10240108799752279,0.2707087851837462,2,400.0,250,150.0
irinotecan,cvcl_1738,0.34558524048061523,0.07169713559156043,0.26920648442914763,2,625.0,250,375.0
paclitaxel,cvcl_0511,0.3324880066312974,0.5866999774152102,0.2688168132259195,2,400.0,250,150.0
paclitaxel,cvcl_2209,0.9074656891131583,0.6400485378645374,0.2674167682102484,2,1000.0,250,750.0
irinotecan,cvcl_0532,0.36028679798917806,0.07183520439358682,0.26710380522073757,2,400.0,250,150.0
paclitaxel,cvcl_0153,0.670210844603071,0.4032729653260533,0.2669348645496757,2,325.0,250,75.0
topotecan,cvcl_1349,0.3300462722240525,0.22144768814960591,0.26641009102210966,2,300.0,250,50.0
topotecan,cvcl_0626,0.24172388622441776,0.43447230240483525,0.26528904662892067,2,900.0,250,650.0
paclitaxel,cvcl_0418,0.7266752068511508,0.44655161758981643,0.26521659233222766,2,400.0,250,150.0
irinotecan,cvcl_0629,0.4248024888059828,0.13031133567336117,0.26384686885732966,2,350.0,250,100.0
paclitaxel,cvcl_1287,0.3827302064421103,0.5896846611172575,0.26354357396898914,2,150.0,250,100.0
paclitaxel,cvcl_0419,0.7380304034257978,0.4702424153822894,0.26074929935528557,2,400.0,250,150.0
topotecan,cvcl_2067,0.348420998264402,0.11984979451445821,0.2605728141258602,2,300.0,250,50.0
selumetinib,cvcl_1672,0.42567422986961845,0.17193754403397077,0.2604418359615484,2,625.0,250,375.0
topotecan,cvcl_1767,0.35926827785279225,0.10547613721339122,0.2604135768783706,2,400.0,250,150.0
paclitaxel,cvcl_1399,0.5616433398518892,0.8458471447235183,0.2599586160691711,2,400.0,250,150.0
paclitaxel,cvcl_1249,0.49387311742306883,0.3222066069341467,0.259134641248098,2,800.0,250,550.0
paclitaxel,cvcl_3152,0.3042718110360363,0.04726787431344026,0.2589930442964072,2,400.0,250,150.0
crizotinib,cvcl_0076,0.04124226810821641,0.22284949747049498,0.25869766484963935,2,325.0,250,75.0
irinotecan,cvcl_0379,0.3402938250206229,0.0978719614204685,0.25832423693159023,2,1250.0,250,1000.0
palbociclib,cvcl_1179,0.0981354134582686,0.29474956176705225,0.2571148533009496,2,1250.0,250,1000.0
paclitaxel,cvcl_1045,0.3141823534483018,0.03071149878523005,0.2560774998742462,2,625.0,250,375.0
topotecan,cvcl_1258,0.5323188011972674,0.2950724466683341,0.25596766144735333,2,325.0,250,75.0
topotecan,cvcl_1620,0.5764782494800971,0.32921493705062566,0.255833543388373,2,5000.0,250,4750.0
paclitaxel,cvcl_3509,0.40101751661203744,0.14097403195125036,0.2553079473692085,2,300.0,250,50.0
paclitaxel,cvcl_1411,0.862906287064865,0.6050430744261037,0.2551624912804049,2,1025.0,250,775.0
paclitaxel,cvcl_1567,0.30386131730963095,0.04566159112765933,0.2539262214521783,2,1000.0,250,750.0
irinotecan,cvcl_1179,0.5589131347032925,0.35531459757564876,0.2534677948582938,2,1250.0,250,1000.0
topotecan,cvcl_1535,0.5400531231627703,0.28548170704693376,0.2532580854828563,2,400.0,250,150.0
topotecan,cvcl_1724,0.46095559511123974,0.14501600402818993,0.25319813573484085,2,500.0,250,250.0
topotecan,cvcl_2213,0.37735781314643846,0.5610204467032084,0.25306042231612613,2,400.0,250,150.0
palbociclib,cvcl_1386,0.1204726051706656,0.252565589838741,0.25283463637345516,2,462.5,250,212.5
selumetinib,cvcl_0218,0.7114209806576912,0.47845105293928925,0.25220616792114087,2,700.0,250,450.0
topotecan,cvcl_2218,0.3598221386469782,0.3042191695125752,0.2513820686190634,2,625.0,250,375.0
pd0325901,cvcl_1672,0.5683334997766437,0.32025143197216954,0.2511807499236555,2,625.0,250,375.0
selumetinib,cvcl_0428,0.42429762355970124,0.17956357672712897,0.25089848176117324,2,300.0,250,50.0
irinotecan,cvcl_1500,0.2527488016079831,0.0008317906605692649,0.250145788703865,2,900.0,250,650.0
paclitaxel,cvcl_1627,0.5246589998418625,0.2759750666785704,0.2494473473311534,2,625.0,250,375.0
paclitaxel,cvcl_0547,0.7374429111491811,0.478012217225939,0.2489176974885976,2,350.0,250,100.0
topotecan,cvcl_0392,0.31513184977398645,0.09350747756079614,0.24674293769864486,2,300.0,250,50.0
selumetinib,cvcl_1587,0.5414283015950669,0.306221547768468,0.2467253703514812,2,625.0,250,375.0
crizotinib,cvcl_1667,0.10392069858989972,0.27427153735093235,0.24658776819966266,2,500.0,250,250.0
erlotinib,cvcl_1694,0.2617839567739343,0.2791603212030338,0.24559963084420466,2,625.0,250,375.0
paclitaxel,cvcl_2124,0.43770860721693805,0.19145979355958131,0.24490236430229725,2,3000.0,250,2750.0
paclitaxel,cvcl_1666,0.6673401641860027,0.42128948318412796,0.24488843434668003,2,150.0,250,100.0
topotecan,cvcl_1054,0.4694783194943646,0.2589025517139516,0.2448150993186275,2,325.0,250,75.0
paclitaxel,cvcl_1084,0.25120548176427016,0.49743021819339606,0.2438305448627982,2,150.0,250,100.0
paclitaxel,cvcl_0065,0.73566096534935,0.49187010401608267,0.2438270866829727,2,1250.0,250,1000.0
crizotinib,cvcl_1386,0.017016576130352012,0.12736137626362654,0.24281774525125,2,462.5,250,212.5
selumetinib,cvcl_1633,0.5422471639893033,0.30510655953687815,0.24220009665871298,2,300.0,250,50.0
irinotecan,cvcl_0318,0.3514930373437727,0.1446896725168081,0.24157212696493988,2,325.0,250,75.0
topotecan,cvcl_1174,0.42616405439654426,0.16657987477809055,0.2407578417899695,2,625.0,250,375.0
palbociclib,cvcl_0134,0.13166848395135966,0.2993771874861868,0.24065247137223814,2,250.0,250,0.0
irinotecan,cvcl_2891,0.5070610418238076,0.2568129237195591,0.24049393998092214,2,300.0,250,50.0
topotecan,cvcl_1720,0.503897707762129,0.32605040184430767,0.23984065207085892,2,1250.0,250,1000.0
lapatinib,cvcl_1402,0.10595774249945145,0.08654102115138329,0.2388703552422309,2,300.0,250,50.0
palbociclib,cvcl_1667,0.2769967098614996,0.41239815838227234,0.23852230892671963,2,500.0,250,250.0
paclitaxel,cvcl_6774,0.6728194079964833,0.3864549496213354,0.23814792768552484,2,200.0,250,50.0
irinotecan,cvcl_1514,0.4799555165185575,0.2314969905829164,0.2376851167301468,2,325.0,250,75.0
topotecan,cvcl_1806,0.5271240891572846,0.3239295485516247,0.23761755378477867,2,400.0,250,150.0
paclitaxel,cvcl_3005,0.3545465738106459,0.13011449687804366,0.23760079443096913,2,625.0,250,375.0
paclitaxel,cvcl_1170,0.8133776613613302,0.5767361756006781,0.23665260849387512,2,200.0,250,50.0
topotecan,cvcl_0630,0.4226965988879585,0.15392310040076185,0.23611446460484237,2,500.0,250,250.0
paclitaxel,cvcl_0131,0.20711175017478067,0.4500202791584078,0.23575650100664966,2,150.0,250,100.0
